Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"","","",107.000000,-59.000000,0.000000,top
"","","",107.000000,-127.000000,0.000000,top
"","","",158.000000,-127.000000,0.000000,top
"","","",158.000000,-59.000000,0.000000,top
"A1","Arduino_Nano_Every","Arduino_Nano_WithMountingHoles",132.500000,-110.740000,180.000000,top
"C1","C","C_0402_1005Metric",130.630915,-119.652000,0.000000,top
"C2","C","C_0402_1005Metric",144.910000,-119.720000,0.000000,top
"D1","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",149.972000,-105.428000,0.000000,top
"D2","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",149.972000,-107.206000,180.000000,top
"D3","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",137.018000,-105.428000,0.000000,top
"D4","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",137.018000,-107.206000,180.000000,top
"D5","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-73.678000,180.000000,top
"D6","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",125.588000,-70.122000,90.000000,top
"D7","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-76.472000,180.000000,top
"D8","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-78.504000,0.000000,top
"D9","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-83.330000,180.000000,top
"D10","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-81.298000,0.000000,top
"D11","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-86.124000,180.000000,top
"D12","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-88.156000,0.000000,top
"D13","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-92.982000,180.000000,top
"D14","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-90.950000,0.000000,top
"D15","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-95.776000,180.000000,top
"D16","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-97.808000,0.000000,top
"D17","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-105.428000,180.000000,top
"D18","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-107.460000,0.000000,top
"D19","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-102.634000,180.000000,top
"D20","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-100.602000,0.000000,top
"D21","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-112.286000,180.000000,top
"D22","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",127.705595,-110.254000,0.000000,top
"D23","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",147.432000,-82.568000,180.000000,top
"D24","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",147.432000,-84.708286,0.000000,top
"D25","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",147.432000,-88.918000,180.000000,top
"D26","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",147.432000,-86.886000,0.000000,top
"D27","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",142.606000,-78.758000,0.000000,top
"D28","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",142.606000,-76.726000,180.000000,top
"D29","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",142.606000,-72.662000,0.000000,top
"D30","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",142.606000,-74.694000,180.000000,top
"D31","D_Zener","DO-41G_BD2.4-L4.0-P8.00-D0.7-RD",124.968000,-59.690000,180.000000,top
"D32","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",121.778000,-73.678000,180.000000,top
"D33","D_Schottky","SOD-123_L2.8-W1.8-LS3.7-RD",119.746000,-70.122000,90.000000,top
"F1","Polyfuse","fuse",125.095000,-63.881000,0.000000,top
"J1","Conn_01x03_Pin","JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical",149.225000,-111.270000,0.000000,top
"J2","Conn_01x03_Pin","JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical",137.750000,-111.270000,0.000000,top
"J3","Conn_01x03_Pin","JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical",139.467600,-64.338200,180.000000,top
"J4","Conn_01x02_Pin","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",119.746000,-119.906000,0.000000,top
"J6","Conn_01x02_Pin","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",111.500000,-98.570000,-90.000000,top
"J7","Conn_01x04","JST_XA_B04B-XASK-1_1x04_P2.50mm_Vertical",148.448000,-101.244000,90.000000,top
"J8","Conn_01x08_Pin","TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",111.500000,-76.487000,-90.000000,top
"J9","Conn_01x02_Pin","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",147.624800,-64.008000,180.000000,top
"J10","Conn_01x04","JST_XA_B04B-XASK-1_1x04_P2.50mm_Vertical",138.288000,-101.284000,90.000000,top
"J11","Conn_01x02_Pin","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",154.228800,-64.008000,180.000000,top
"J12","Conn_01x02_Pin","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",111.500000,-105.156000,-90.000000,top
"J13","Conn_01x03_Pin","JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical",115.874800,-64.566800,180.000000,top
"J14","Conn_01x03_Pin","PinHeader_1x03_P1.27mm_Vertical",128.090000,-117.580000,-90.000000,top
"J15","Conn_01x03_Pin","PinHeader_1x03_P1.27mm_Vertical",128.090000,-121.920000,-90.000000,top
"J17","Conn_01x02_Pin","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",111.506000,-69.850000,-90.000000,top
"J18","Conn_01x02_Pin","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",113.157000,-119.906000,0.000000,top
"J19","Conn_01x02_Pin","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",111.506000,-111.760000,-90.000000,top
"R1","R_US","R1210",154.798000,-106.190000,180.000000,top
"R2","R_US","R1210",141.844000,-106.378000,180.000000,top
"R3","R_US","R1210",128.382000,-70.122000,-90.000000,top
"R4","R_US","R1210",123.387595,-77.996000,90.000000,top
"R5","R_US","R1210",123.387595,-82.822000,90.000000,top
"R6","R_US","R1210",123.387595,-87.648000,90.000000,top
"R7","R_US","R1210",123.387595,-92.474000,90.000000,top
"R8","R_US","R1210",123.376932,-97.343589,90.000000,top
"R9","R_US","R1210",123.376932,-107.072399,90.000000,top
"R10","R_US","R1210",123.376932,-102.208801,90.000000,top
"R11","R_US","R1210",123.387595,-111.898399,90.000000,top
"R12","R_US","R1210",142.352000,-84.600000,0.000000,top
"R13","R_US","R1210",142.352000,-88.156000,0.000000,top
"R14","R_US","R1210",147.686000,-77.470000,180.000000,top
"R15","R_US","R1210",147.686000,-73.424000,180.000000,top
"R16","R_US","R1210",122.794000,-70.122000,-90.000000,top
"R17","R_US","R1206",131.684000,-117.366000,0.000000,top
"R18","R_US","R1206",131.684000,-121.938000,0.000000,top
"R19","R_US","R1206",145.908000,-117.366000,0.000000,top
"R20","R_US","R1206",145.908000,-121.938000,0.000000,top
"SW1","SW_Push","SW_TH_Tactile_Omron_B3F-10xx",135.344000,-117.402000,0.000000,top
"SW2","SW_Push","SW_TH_Tactile_Omron_B3F-10xx",149.516000,-117.402000,0.000000,top
"U1","DRI0044","DRI0044",145.480000,-80.210000,0.000000,top
